,평점,일시,감상평
380,10,2020.06.09 11:18,송지효 연기 못하는줄 알았는데 개잘함 그리고 진짜재밌다고 입소문내는중 스토리는 뭐 약간 뻔한데 연기들이 다 살림 그래도 재밌었음 진짜로
381,8,2020.06.08 23:56,먼 말들이%~~~볼만혀~~~보셔
382,10,2020.06.08 22:10,스토리가 끝부분이 갑자기 빠르게 전개되는 아쉬움 있지만 아역 배우 까지의 열연도 넘 좋았네요..내가 사는 주위 사람이 도움이 필요한데 알게 모르게 나의 적이라는게 섬뜩은 하지만....마지막 형사아저씨가 블랙박스 보고 범인 잡으러 오길 바랬는데..내 생각처람은 안됐네요..ㅠ.ㅠ 
383,8,2020.06.08 15:29,김무열  묶어서 죽일려고 했던 범인 연기 개잘하네 재미여부는 잘모르겠고  연기는 다좋았다.
384,10,2020.06.08 14:05,"제가 송지효 누나의 팬이구요, 걷지말고 뛰어라 런닝맨을 좋아합니다 새로운 영화인 침입자 영화 기대가 되는 영화입니다"
385,10,2020.06.05 20:13,와 송지효 연기 다시봤네요..스릴러연기하면 송지효밖에 안생각날듯요...예능의 이미지가쎄서 몰입안될줄 알았는데 절대아니고 몰입감 쩌네요 ㅎㅎ영화 내용도좋고 많이보세요 여러분들
386,8,2020.06.05 18:18,송지효의 눈빛이 너무좋았다 전체적인 이야기보단 배우들의 연기가좋았다 지효 배우 눈빛.연기좋음
387,10,2020.06.05 12:52,개무서워요 진짜 김무열 배우랑 송지효 배우도 다시 봤어요 연기 너무 잘해
388,10,2020.06.05 12:43,그들은 정말 훌륭한 공연을했습니다! 그들은 정말 상을받을 가치가 있습니다!
389,9,2020.06.05 12:05,나도 모르게 주먹을 꽉 쥐고 보게된다..
390,9,2020.06.05 11:56,송지효는 스릴러 여왕입니다! 나는 어떤 부분을 그리워하거나 파우더 룸에 가고 싶지 않았습니다. 흥분은 끝날수록 증가합니다. 두 가지 주요 캐스트는 정말 훌륭한 배우입니다. 이 히트를 바랍니다!
391,10,2020.06.05 08:47,기대이상!! 재밌게봤네여
392,10,2020.06.05 08:45,오랜만에 영화관에서 영화를 재미있게 보고 나왔다
393,10,2020.06.05 08:31,잼 있어요 다소 아쉬운 부분도 있지만 전체적으론 잼 있어요
394,10,2020.06.05 01:28,그들은 연기는 강하고 활기 차다.또한 아주 좋은 영화입니다.
395,10,2020.06.04 22:39,생각한것보다 더 재밋게봄
396,10,2020.06.04 22:11,생각했던거 보다 더 잘만들어진 미스터리 스릴러
397,10,2020.06.04 21:52,그냥 우리나라에서 보기 드문 스릴러영화 겟아웃만큼 미스테리함
398,10,2020.06.04 20:54,신천지는 사회의 악이다.
399,10,2020.06.04 20:30,기생충이랑 숨바꼭질 느낌도 나면서 긴장감 최고였다ㅋㅋㅋ 보길 잘한듯
400,5,2020.06.04 18:00,긴장감 있나 싶더니 답답..답답답... 고구마 먹은듯.. 중후반 속터진다.답답한 맛에 보는것인가싶음ㅋㅋㅋ 연기는 다들 정말 굿굿
401,2,2020.06.10 17:56,진짜 개지루함... 루즈함에 끝장판 너무 질질 끌어서 와 러닝타임 진짜 길다 두시간은 된거같은데 끝날 기미가 안보이네 영화가 왜이렇게 길지? 하고 시계보니 한시간 지나있네 ㅋㅋㅋ 하
402,10,2020.06.09 00:58,영화너무너무재밌게봤고송지효김무열말고도다른분들도연기르너무잘해주셔서재밌게보고솔칙히런닝맨에서지효언니팬으로써옛날부터봐서솔직히몰입이잘안될줄알았는데너무몰입도잘되고재밌게봤습니다~ ^^♡
403,9,2020.06.09 00:52,"기대치가 낮아서였나, 생각보다 재밌게 봤다김무열도 송지효도 생각보다 연기를 잘해서 간만에 스릴러 오싹하게 잘 본듯!"
404,10,2020.06.08 10:29,와...정말 소름 돋았다 특히 송지효 목소리. 영화 대박나세요! 진짜 재밌어요
405,10,2020.06.07 01:17,중간에 잠깐 무서워서 귀 막고 봤다. 송지효 연기가 좋았고 일부러 확인 안 한 결말이 마음에 들었다.
406,10,2020.06.07 00:53,후반부에 조금 지루해지려 했었는데 마지막이 진짜 대박이었음 결말이 너무 맘에 듦
407,9,2020.06.05 06:08,보면서 많은걸 못 믿게 되었고부녀애가 엄청나다는걸 깨닫게 되었습니다.김무열님 연기력 개쩔어 ㅜㅜㅜ김무열님 진심 ㅜㅜ 믿고 보는 김무열 ㅜㅜ
408,10,2020.06.04 22:44,"코로나 때문에 좀 늦게 가서 보고왔네요, 극장에 사람 별로 없어서 그런가 더 무섭고 긴장됬어요;;"
409,10,2020.06.04 22:43,"송지효, 김무열 연기 대박! 보는내내 신천지 생각났음. 소름."
410,6,2020.06.04 22:24,"전혀 예측할 수 없는 결말이긴 한데,, 딱히 와아 이럴 정도로 개연성 있지는 않은 것 같다,, 뭐 찝찝하게 안풀리는 것도 있고 그냥 킬링타임용송지효랑 김무열 연기는 아주 좋았다!!! 스토리는 그저 그랬지만 연기덕분에 6점(전형적임) "
411,10,2020.06.04 22:17,정말 무섭다 정말ㅠㅠㅠ 기대 안했는데 넘 재밌게 봤고 충격적이였어..
412,10,2020.06.04 22:14,가족이라는 이름의 낯선 사람이 주는 긴장감.. 신선한 영화였다는ㅎㅎ
413,10,2020.06.04 22:13,정말 간만에 보는 영화였는데 너무 재밌었다
414,10,2020.06.04 22:10,나만당할순 없지 너무너무 재밌어요 꼭한번 다들보시길 추천해드립니다!!
415,10,2020.06.04 22:07,기대 안했는데 재밌어서 놀람ㅋㅋㅋ
416,10,2020.06.04 22:05,호기심 충만 영화 기대합니당스릴러가 장난아님~~^^지효짱~
417,10,2020.06.04 19:29,냠츄피름..!!와유
418,10,2020.06.05 17:08,너무너무 재밌었어요...강추입니다
419,8,2020.06.05 17:06,오랜만에 한국영화라 시작부터 전율이.. 연기도 너무 좋고 스토리도 예상하지 못한 결과였습니다~
420,10,2020.06.05 11:04,진짜 누가 재미없다 했냐 재미없다해서 걱정반 송지효김무열본다에 설렘 반으로 들어갔는데 심장 튀어나오려는거 붙잡고 있었다..뻔한 전개라해서 에이 이렇겠네 하고 봤는데 뻔한 결말도 아니고 ( 예측할 수 있던 부분이 있긴해도 반전 요소도 많음 반반인거같음 ) 송지효 김무열은 말할것도 없고 다른 배우분들도 연기 잘해내시고 영화 다 보고 집가면서 친구랑 내내 얘기했다 스토리적인 부분도 잘 짜여졌다고 생각하고 그걸 극대화 시킨게 배우들의 연기 진짜 저는한번더 보기로 했습니다 꼭 보세요 적어도 3번은 보ㄹ거다 
421,6,2020.06.04 17:23,무난한 킬링타임용 영화
422,9,2020.06.08 22:08,스릴러답게 스릴감 최고ㅋㅋ 반전도 있고 스릴러 영화 좋아하면 강추
423,2,2020.06.07 23:17,두개 밑으로 어떻게 줘요??
424,2,2020.06.07 14:21,"야, 이거 알바들 너무하구먼.볼때에도 재미없었는데 나올때에는 기분도 좀 더럽더구먼"
425,4,2020.06.07 11:51,진짜 후반부로갈수록 엥...? 했네요;; 남자친구랑 둘다 다보고나서 뭐지.. 아쉽다 했던 영화..
426,8,2020.06.06 23:33,발암유발 이런거 좋아해서 잘 봤어요
427,9,2020.06.06 19:56,6개월만에 극장에서 본 영화. 송지효 연기와 짐작하고 봐도 좋은 섬세한 연출이 좋았습니다.
428,1,2020.06.05 23:32,낯익은 배우들 얼굴만 없었다면 학생이 찍은 습작인 줄 알았을 뻔. 별로 뛰어나지 않은 학생이.
429,2,2020.06.09 10:55,처음과마지막이 다른영화... 한국판겟아웃인줄알았는대 역시나....ㅎ
430,1,2020.06.07 00:36,처음부터 끝까지 고구마 먹는 느낌...리얼 답답함
431,1,2020.06.07 02:58,진짜 정말 재미없음..... 러닝타임 너무 길고... 스토리도 얼탱이 없음.... 정말 대박인건.... 달리는 차에 문열리는게 최악이엇음 ....
432,1,2020.06.06 20:08,정말볼게없는분스트레스받으실분들만보면 좋을듯...개연성1도없는 억지긴장감만들기영화..
433,1,2020.06.07 00:27,기억의밤+구해줘(?) =  비추좀 먹자.  이런 개연성 떨어지는 영화는 평점 7점대 초반이 적당하다
434,1,2020.06.04 21:32,걍노잼 연기를못했으면 욕나올정도; 그나마 연기가살림
435,1,2020.06.04 21:27,아니진짜 보지마세요 연출괜찮다고 누가그럽니까 그냥 영화니깐 가능한일들만 우연적으로이어지는게 연출인가.. 보지마세요 코로나때문에 간만에 영화개봉했길래 봤더니.. 집에서 유튜브보세요
436,1,2020.06.05 11:16,ㅋㅋ.. 댓글 말투들이 다 비슷하네요^^
437,9,2020.06.08 13:39,ㅋㅋ.. 댓글 말투들이 다 비슷하네요^^
438,10,2020.06.06 15:22,영화 진짜 재밌어요ㅠㅜㅜㅠ 존잼존잼
439,4,2020.06.06 14:49,"사이비극혐 김무열,송지효 연기만볼거면 추천드림."
440,6,2020.06.06 13:11,뭐지? 난데없는 사이비 종교가 갈수록 딱.... 배우들 연기는 괜찮았지만 개연성이 좀 부족한 듯 하네요 영화관 안에서 보는 영화 느낌이 아니라 그냥 단편영화 하나 본 느낌..?
441,10,2020.06.05 09:36,
442,10,2020.06.05 09:25,
443,4,2020.06.05 00:17,수상한 여동생 vs 의심하는 오빠하지만 팽팽한 긴장감보단 다소 느슨한 수사극 보는 맛이다!결말부분으로 갈수록 배가 산으로 가는 꼴이다! 초반의 긴장감이 오히려 풀리는 꼴! 그리고 배우의 캐릭터가 좀 더 강했으면 하는 아쉬움도 남는다 
444,8,2020.06.10 19:28,아이 숭배하는 거랑 의사까지 한패인거 아무리 바로 블랙박스 확인 안한대도 차 안에서 대놓고 사이비인거 다 말하는 장면에서 좀 억지느낌 빼고 괜찮았던거 같음
445,10,2020.06.09 12:41,연기는 잘함 둘다 베테랑 배우니까 근데 그에 비해 시나리오가 별로였음 갑분종..
446,10,2020.06.09 12:08,결말은 뻔하긴 했는데 볼만한것 같던데 긴장감 만큼은 장난 아니었고 송지효 작품 처음 보는데 런닝맨이랑 완전 다르더라 연기가 진짜 긴장감 높이는데 송지효가 한몫 한듯 김무열도 ....와 김무열 작품은 꽤 봤는데..김무열도 연기는 장난 아니더라 스토리가 점점 산으로 가는 느낌이 있긴 했는데 그래도 재밌었어요 
447,8,2020.06.08 15:21,요즘 날씨에 보기 괜찮은 것 같아요 다만 조금 뒤에 갈수록 너무 끈다는 기분과 답답한 느낌을 받을 수 있을것같아요 그리고 송지효 연기 생각보다 괜찮은데요?
448,6,2020.06.06 19:49,김무열 좋아하는데 내용 개연성이 좀... 아쉽
449,10,2020.06.06 18:11,
450,6,2020.06.06 17:37,초중반까지는 볼만함개인적으로는 “이제부터 나의 사악한 계획을 알려주지!”친절하게 설명할때부터 극노잼이였다
451,10,2020.06.06 14:33,김무열 신경증 환자 연기 미쳤더라;;
452,10,2020.06.06 12:52,송지효씨랑 김무열씨 연기 너무 잘하시고 진짜 영화랑 너무 잘 어울려요!스토리도 되게 재미있고 송지효 런닝맨에서 못봤던 표정들을 봐서 좋고 되게 잼있어요!꼭 보시기를 추천합니다!
453,10,2020.06.06 08:26,서로 의심에 의심을..나까지 미춰버리는줄 ~
454,10,2020.06.06 01:51,긴장감있고 스토리도 흥미로웠음
455,9,2020.06.06 00:12,배우들 연기력으로 점수 주고 싶네요
456,9,2020.06.05 23:23,긴장감있고 두배우분 연기도 너무 잘하시고 몇달만에 극장에서 영화보니까 너무 좋았어요 ㅠ ㅠ
457,10,2020.06.05 20:14,
458,10,2020.06.05 20:08,
459,6,2020.06.05 18:45,"아부지가 시키드나, 영화가 그리 만만하드나 이거저거 갖다 붙이면 감동 받을줄 알았드나 애들 책 팔렸다고 세상 쉽게 보지마라, 손작가..어려운 시기에 어렵게 개봉해서 마음을 어렵게 만드는 영화, 요상한 맛을 내는 요리를 먹은 느낌의 영화 무엇보다 개연성이 없지만 김무열 연기는 일품이다. "
460,8,2020.06.05 10:28,
461,10,2020.06.05 09:40,
462,10,2020.06.04 21:02,종교가 악이 되면 어떻게 되는지...  이건 영화가 아니라 현실이다
463,9,2020.06.04 20:57,예상치못한 전개라 추리하다가 살짝 멘붕ㅠㅠ 그래도 재밌게 끝까지 봄
464,8,2020.06.04 20:23,심장 쫄깃하긴했네요.. 막판 스토리 전개에 맥이 좀 풀리고 역시 영화는 영화일뿐이가 싶었지만 간만에 본 영화라 기분전환되고~ 볼만해요
465,7,2020.06.04 16:09,
466,6,2020.06.10 01:56,솔직히..좀 지루함. 초반이 차라리 재밌었음. 후반에 뻔하게 흘러가는 느낌이어서 긴장감 떨어지고. 마지막에 반전이라면 반전을 주려한것같은데 반전이라 말하기엔 애매함... 배우들 연기 하나만큼은 최고.
467,6,2020.06.08 23:32,연기는 정말 좋아요
468,8,2020.06.08 18:38,유전 + 미드소마 재밌게봤습니다
469,8,2020.06.07 18:14,송지효도 잘했지만 이영화는 김무열이 진짜 고생했겠다.  의도인진 모르겠지만 시의성도 적절했다고 봅니다.
470,8,2020.06.06 23:39,완벽한캐스팅ㅠ 김무열과 송지효 연기력이 반 이상 했고중반부까지 굉장히 의심과 긴장을 유발하는 전개가 좋았음근데 후반이 좀...에바를 싼것같다는 느낌...
471,6,2020.06.06 22:10,"배우들 연기는 나무랄데가 없으나, 스토리가 개판임코로나를 뚫고 가서 볼 정도는 아니며, 보는 내내 고구마 백개는 먹은 듯한 답답함과어이없는 결말; 떡밥 회수도 제대로 안 되고 급 마무리 됨조금만 생각해도 해결될 문제를 개연성없이 계속 이어감, 주인공 설정 자체가 나름 성공한 사람인데 어떻게 이렇게 해결할 생각을 못하지?특히 지금 시대가 어떤 시댄데,, 녹음기 하나를 사용할 생각만 했어도; "
472,10,2020.06.06 20:31,와 갑툭튀는 없는데 분위기 개 무서웠슴 송지효 너무 무서워서 소름이 쫙 돋음 연기 개 쩔고 미쳤슴 마지막이 조금 아쉬웠지만 배우분들 진심 연기 미쳤슴 영화관 가서 꼭 보세요!!!!
473,9,2020.06.06 18:20,긴장감과 몰입력이 엄청나네요. 두 배우의 소름돋는 연기가 정말 좋았습니다.
474,8,2020.06.06 13:10,
475,10,2020.06.06 09:45,오랜만에 보는 한국 상업영화여서 좋았고 영화도 재밌었어요ㅎㅎ
476,9,2020.06.06 08:53,송지효 연기 왜이렇게 잘하지ㅋㅋㅋ 맨날 런닝맨에서만 보다가 극장에서 보니까 색다르네
477,8,2020.06.05 23:38,김무열님 연기 잘하시네요. 송지효님 영화에서 너무 오랜만에 봬서 좋네요.이런 차가운연기 처음보는데 잘하시네요
478,4,2020.06.05 22:57,흔한 클리셰 엉성한 개연성
479,8,2020.06.05 20:20,좀 허술한 개연성을 송지효 연기력이 다 커버할 정도였다.
480,6,2020.06.04 22:27,"볼만은 했는데 누구 추천해주긴 아쉬운 느낌. 송지효, 김무열 연기 때문에 계속 봤네요~ 스토리는 개판입니다!"
481,6,2020.06.04 21:59,남자주인공이 계속 흥분상태라 긴장감이 반감...
482,6,2020.06.04 21:10,배우분들 연기는 괜찮은데..스토리에서 별 감흥이 떨어지네요
483,9,2020.06.04 20:48,생각보다 재밌었던 영화. 기대이상의 재미와 스릴!
484,5,2020.06.04 20:16,보는 내가 정신병 걸릴뻔 송지효 배우님 눈빛 연기 개미쳤고 근데 ㄹㅇ 그런 전개가 나올진 몰랐음 .. 반전의 반전;  별로 갑툭튀도 없고 공포 잘 못보는 나에겐 괜찮았음 . 아 그리고 개 답답함 중간부터 사이다 마시고싶었음 .. 하... 
485,8,2020.06.09 01:01,기대 안하고 봤는데 재미있었어요 내용두 그렇고
486,10,2020.06.05 13:17,송지효님 연기 진짜 대박이예요ㅠ 역시 스릴러 퀸!김무열님도 진짜 대박! 두분이 연기력으로 멱살 잡고 영화 끌고 간거같아요ㅎㅎ
487,10,2020.06.05 12:50,쫀쫀한 긴장감이 느껴지는 영화였습니다
488,10,2020.06.05 12:49,잼나요 오랜만에 극장 꿀잼
489,10,2020.06.05 12:48,연기와 스토리 모두 훌륭했습니다
490,10,2020.06.05 11:55,재미있다는 말 밖에 할 수가 없다.. 또 봐야지
491,10,2020.06.05 10:57,그동안 송지효 배우를 그냥 예능인 이라고 생각했던 내가 바보였다....어디서 배워온건가 정말 연기력이 ㄷㄷ했고 김무열 배우는 서진이라는 인물의 심리와 답답함을 잘 표현했다.
492,10,2020.06.05 07:31,한국영화에사도 긴장감이 느껴지다니~ 보는내내 조마조마 재밌었어요!!!ㅎㅎ
493,5,2020.06.09 15:49,반전을 위해 스토리를 포기한 영화.근례 한국영화에 시나리오가 왜 이모양인가 다시 생각하게 한 시간이었다. 배우들에 연기는 좋았으나 전혀 연결이 되지 않는 스토리는최면에 걸리지 않는다면 이해가 어렵다.
494,4,2020.06.08 01:07,배우의 연기만큼이나 감독의 역량이 중요하다는 것을 절실히 느꼈던 영화... 초반부에 이어지던 묘한 긴장감이 어느새 말도안되는 이유로 인해 와해되버리고 마는 허무한 영화
495,1,2020.06.07 23:44,스토리 진행이 너무 억지스럽다.모두가 발암캐릭인데 제일 심한게 주인공 김무열임.보는 내내 답답하고 상황 공감도 안되고 헛웃음이 나올정도로 억지스럽게 스토리를 끌고감.  중요한 상황에 절대 신고하지 않는 주인공. 믿어주지 않는 경찰. 주인공 앞에서 썰풀다 역관광 당하는 악당. 모두가 다 너무 많이 봐서 진부한 클리셰들로만 엮어진 지루한 스릴러. 
496,2,2020.06.07 23:07,평생영화중 최악손에꼽음 보지마세요 제발부탁드립니다
497,1,2020.06.07 22:40,영화 할인에 바이러스에 아주 평점 알바들 열일하네
498,1,2020.06.07 22:36,장님나라 애꾸가왕
499,1,2020.06.07 11:47,"송지효가 너무 예뻐서 더 소름돋는것 빼고 기억에 안남는 스토리 지루했음 뭘 자꾸 하려다 만느낌이고 긴장감 주기 위해 이것저것 짜깁기 하고 ..  평소 영화 찾아보며 즐기는 사람으로서 별로. 별로 별로 별로 개인차가 있겠다지만, 그래 남자친구는 재밌다 했지만난 주변에 추천안함 "
500,9,2020.06.05 10:44,나 원래 이런거 예측 잘하는데 이번엔 좀 틀렸음... 반전 미쳣더..
501,6,2020.06.04 14:34,클리셰가 클리셰로 이어지는 스릴영화. 연기력은 좋지만 내용은 좀 허술함.
502,4,2020.06.07 11:15,나만 이상한가 10점은 절대 아니고 전체적으로 퀄리티가 낮음 스토리도 억지가...
503,1,2020.06.09 19:40,진짜 그냥 꺼ㅡ져라 평점알바할짓 드럽게 없냐후반부에 우회전 좌회전 장난하냨무슨 영화를 다 짬뽕 시켜놨어아오 개 빡쳐걍 코로나 쫌 풀렸다고 1빠로 꿀 빨라 한거 같은데 진짜 스토리 개ㅈㅓ 망이요에라이 ^^ㅣ2벌                              ㅜ                                                       ㅈ예고편 보고 진짜 낚이지 마세요진짜 이딴걸 영화라 만드냐;해도 해도 너무하네 
504,1,2020.06.08 01:37,우와 공감순으로는 전부 10점인데 최신순으로 하니까 별점들이... 댓글 알바 너무 티난다
505,2,2020.06.07 23:57,"영화 스토리자체가...진짜 보는내내 고구마 먹은 것 같았고, 보고 와서 기분이 좋지 않았다."
506,2,2020.06.07 22:05,자연스레 낮은평점만 보게 되네. 고평점은 이해가 안되서
507,1,2020.06.07 22:30,진짜 태어나서 처음 씁니다.처음부터 끝까지 우울하고 재미도 드럽게 없습니다. 끝나고 이거 평점보고 놀라서 저같은 피해자 없길바라는 마음으로 씁니다. 이거 보자고 한 여자친구부터 기도원 신자인지 확인하러 가야겠네요
508,6,2020.06.07 14:30,별로 긴장 안되고 그닥....
509,1,2020.06.07 04:27,"최악임! 다보고나오기 진짜 힘들었음 호평은 진짜 알바임, 아무리 볼거없어도 진짜 보지마세요, 그시간에 딴거 하세요ㅡ"
510,1,2020.06.06 17:48,코로나 때문에 볼만한 영화들 개봉이 거의 없었기도 하지만 올 해 상반기 최악에 가까웠던 개연성 0점의 영화인데 10점 주고 극찬한 사람들은 정말로 영화를 보고 느낀 결과를 그렇게 표현한 것인지 이해 불가. 아무리 후하게 봐줘도 10점 줄 영화는 절대 아님. 
511,1,2020.06.06 16:44,"겟아웃, 어스와 같은 영화를 따라한거 같은데 진짜 보면 안되는 영화 개망작에 ㅆ노잼.  진짜 후회한다. 이 댓글 보는 사람들 보지마라.여친이 보자고 해서 봤는데 시간+돈 낭비다 !!!"
512,1,2020.06.07 00:15,평점ㅊ좋아서 봤더니 영화보는 내내 답답해 죽겠습니다
513,1,2020.06.08 13:02,소리만 너무 컸어여ㅠㅠㅠ
514,1,2020.06.11 11:45,말도 안되는 전개 및 연출 ㅋㅋㅋ 본격 코로나가 하드캐리하는 영화.  다세포소녀의 향기가 난다
515,8,2020.06.11 09:06,중반까지재미있었고 소재도 요즘과뭔가맞아떨어지는듯하고...엔딩이 조금급하게마무리된 감이있어 아쉬운데 그래도 볼만했습니다
516,10,2020.06.10 20:41,
517,8,2020.06.09 11:27,김무열 송지효 둘다 좋아하는 배우에다 연기까지 쩔어서 넘나 잼있게 봤어여~~
518,7,2020.06.09 09:12,배우들 연기력은 돋보였으나 뻔한 전개 전형적인 한국영화 난 제일 기억남는 배우가 그 물리치료사더라
519,7,2020.06.08 15:31,클로젯+기억의 밤 보는 거 같았다
520,10,2020.06.08 13:11,
521,10,2020.06.08 11:23,
522,6,2020.06.07 12:10,댓글알바수준 이러니까 한국영화 발전이 없지 못한건 못했다고해주고 잘한건 잘했다 해줘야지 발전하려는 의지를 가지지
523,6,2020.06.07 07:47,배우들 연기력은인정 하지만 영화보고나왔는데 기분이 더럽다 왜지? 이기분 예전에 검은사제들 보고나온 기분이랑 같네..
524,7,2020.06.06 23:27,
525,8,2020.06.06 22:12,종교라는게 이렇게 무섭습니다
526,8,2020.06.10 22:27,"카메라 앵글의 연출력, 배우들의 연기 호흡에서 만점이지만 결말에서 -2점을 주었습니다."
527,10,2020.06.10 19:46,와ㅏㅏㅏ 존잼 그냥보세요 ㄹㅇ 안보시면 제가다볼게요
528,8,2020.06.09 15:11,으음...예상한데로 스토리가 그나마 탄탄해서 좋았는데약간 좀 답답한 마음도 있었습니다.아무튼 연기자분들 스토리상 집중력도 좋았구재밌게 잘 봤습니다.
529,9,2020.06.09 08:17,간만에 송지효 연기 제대로 봄
530,7,2020.06.09 00:25,"음...보고난 후 솔직한 느낌은 최근 한국 영화중 스릴러였던 ""변신"" 과 같은 느낌임"
531,7,2020.06.08 21:33,중반까진 분위기 나쁘지 않았네요한국판 겟아웃 같았습니다 근데 후반부부터마무리 과정이 너무 길고 강렬하지 못했던것 같습니다 ㅠㅠ 하지만 송지효 누님은 예뻤습니다
532,4,2020.06.07 14:47,드럼통에 들어가 총 맞더니 살아 있네 러닝맨도 나오고 여기도 나오고
533,8,2020.06.06 23:00,나름재밌게봤어요~~~ㅎ
534,9,2020.06.06 22:47,스토리는 뻔하지만 긴장감이 결말까지 어느정도 유지되어서 좋았고 관객들이 영화가 끝나고도 상상해보게 만드는 영화여서 만족스러웠음
535,8,2020.06.06 22:23,연출 좋아요 8점!! 먼가근데....좋아요
536,6,2020.06.06 21:26,전형적인 용두사미 엔딩
537,4,2020.06.05 22:50,장르 스릴러가 아니라 판타지로 바꿔야 할 것 같아요
538,10,2020.06.05 19:46,송지효 김무열 연기 넘 좋았어용!
539,10,2020.06.05 19:46,"배우들 연기 굿., 특히 김무열!!! 진짜 대단한 배우가틈!!"
540,10,2020.06.05 19:39,런닝맨에서 보던 송지효 언니와 영화에서 본 송지효 언니가 너무 다른 이미지여서 새로웠고 장면 하나 하나 스릴감이 있어서 정말 재밌었다.얼마나 재미가 있었으면 시간이 빨리 가는줄도 몰랐던 것 같다.생에 처음으로 본 스릴러 영화였지만 보기 잘했다고 생각한다. 
541,10,2020.06.05 11:37,"가내수공업 수준의 사이비 종교..지하철에서 인사 자세해봄.,,"
542,10,2020.06.05 11:04,얼마전에 넷플로 정직한 후보보고 침입자에서 김무열 보니까 더무섭데 다른사람 같아서
543,10,2020.06.05 09:33,연기 연출 모두 10점 드립니다.
544,10,2020.06.05 08:59,송지효 김무열의 연기 그리고 입봉 감독 답지 않은 연출력. 여러모로 침체되어 있는 한국영화계에 좋은 영향력을 선사하지 않을까 싶네요. 처음부터 끝까지 이어지는 긴장감이 매력인것 같습니다~~
545,10,2020.06.05 01:42,노래 지효 연기 기술은 내가 그녀를 사랑하는 놀라운♥
546,7,2020.06.04 22:42,중반까지 진짜 재밌어요
547,7,2020.06.04 21:53,연기는 좋았으나 스토리는 거기서 거기..
548,8,2020.06.11 00:38,처음엔 진짜 재밌게 빠져들었는데 확실히 후반이 부실한 느낌이 들었는데 연기 너무 좋았음
549,10,2020.06.10 17:50,흥미진진하게 시간 가는줄 모르고 재미있게 봤고 기대 이상이었어요.
550,1,2020.06.09 19:39,"배우들 연기는 좋습니다. 근데 지루하고 다 보이는 내용입니다. 뻔한 전개, 클리셰 덩어리..."
551,9,2020.06.09 05:15,주연배우의 연기가 살렸네요.중반까지 긴장감  좋았는데 후반부는 그저그랬네요.어디서 본듯한 여러 영화가 짬뽕된것 같은 내용전개가 좀 아쉽
552,9,2020.06.09 00:01,영화 중반까지 긴장감있고 좋았는데 후반에서급 몰아치는 느낌..? 결말이 조금 아쉽네요하지만 침입자라는 영화를 통해 배우 송지효를 다시 봤어요송지효가 이렇게 연기를 잘했나 싶었음ㅋ중저음톤이라서 서늘한 연기에 더욱 잘 어울렸어요송지효와 김무열의 연기는 굿 
553,10,2020.06.08 21:45,긴장감도 좋고 연기력도 좋네요
554,10,2020.06.08 10:32,다 좋았음 !! 킬링타임용으로 최고
555,5,2020.06.08 08:27,이영화는 스토리나 개연성을 제외한 '연기'력만의 평점만있다
556,5,2020.06.08 02:44,"초반은 재밌으나, 중반부 이후의 전개는 먼가 어색한 전형적인 용두사미형 영화 입니다."
557,4,2020.06.07 23:12,중반까진 볼 만 했어요... 후반부 부터가 참... 어이가 없습니다 하하!!!!
558,10,2020.06.06 22:39,이 영화를 보고 &#34;신념은 이성과 논리를 지배한다.&#34;라는 생각이 더욱 더 각인된 것 같습니다.나만 진실을 알고있고 답답해 미치겠는데 내 주위사람들은 자꾸 아니라고 다그치면서 나를 정신병자 취급한다면 어떨까 생각해봤습니다.화가 폭발할 지경으로 난리를 쳐야될까이성의 끈을 놓지않고 논리적으로 해결해야될까되려 저는 이 상황이 오래간다면 사실은내가 진짜로 미쳐가고있는게 아닐까 라고 승복하고 인정 할 것 같습니다.그리고 저는 감독님의 의도가 매우 궁금합니다.이 영화 자체의 의도가 표면적으로 드러나지 않고 암묵적으로 전달하려는 메세지가 있는 느낌입니다. 그것이 외적요소는 내적요소든 간에. 
559,10,2020.06.06 20:06,"솔직히 소재는 좋았으나 스토리나 긴장감에 있어서 연출이 지루하고 아쉬웠던건 사실임하지만 송지효,김무열 두 배우님이 나머지 배우분들의 어색한 연기마저 다 커버한게 보인다이로 인해서 어떻게 보면 두 배우분한테는 오히려 득이 되는 영화가 아닐까 싶다.장면에서도 1초도 안 되는 시간 얼굴근육 그렇게 사용하고 표현할 수 있는 배우들에 새삼 소름돋으면서 대단함을 금치 못했다. "
560,9,2020.06.06 09:14,맨날 넷플 보다가 극장에서 영화보니까 왜이렇게 행복하냐ㅠ 영화도 생각보다 재미났음
561,10,2020.06.06 08:54,런닝맨을 봐오던 시청자라 송죤님의 연기에 큰기대감이 없었는데 이번에 연기 미쳤습니다 핏줄컨크롤 가능하다는게..와..
562,10,2020.06.05 12:04,"드디어 이 영화를 보네요ㅠㅠ 간만에 보는 영화라 몰입도 최고였던것 같아요, 오랜만에 머리쓰면서 영화봤더니 재밌더라구요 ㅋㅋ"
563,10,2020.06.05 11:52,"정말 재미 있었어요 ~ 긴장감 , 연기력 정말 강추 입니다 ."
564,10,2020.06.05 11:35,역시 베스트셀러작가 답다~ 스토리가 엄청 쫀쫀하더이다..
565,5,2020.06.05 00:18,송지효가 예전의 송지효가 아이다다음작품이 기대된다영화는 전형적인 우리나라 영화틀을 벗어나지 않는다.아쉽다.
