,평점,일시,감상평
44,1,2020.06.05 22:49,진짜 재미없어요  현재 볼 영화가 이거밖에 없어 봤는데 진짜 더럽게 재미없습니다 개연성 하나도없구요 답답하고  말이너무 안됩니다 판타지도 아니고  무슨 영화가 이따구인지 제가 만들어도 이거보단 잘만들겠어요 배우들 연기는 다 훌륭한데 아쉽네요 
45,6,2020.06.04 18:35,설정은 다소 진부하지만송지효가 연기를 잘하네요
46,10,2020.06.04 15:43,송지효 연기 중에 제일 좋았던 것 같음! 무엇보다 오랜만에 극장가서 영화보니까 그 자체로 즐거웟따~~~~*
47,10,2020.06.04 13:25,오랜만에 극장가서 보니 더 쫄깃한 거 같네요. 엔딩이 좀 아쉽긴했지만 중반까진 넘 긴장하면서 봤습니다.
48,10,2020.06.04 10:57,
49,1,2020.06.04 20:34,"평점이 9.3점대인게 이해가 안되네요. 리뷰에 영화 본 사람이 없는건지 클레멘타인급 페이크 리뷰인지. 배우들의 연기는 사실 괜찮았는데 스토리 개연성부터 cg연출, 감정선까지 뭐 하나 이해가 되는 부분이 없는 졸작입니다. 도저히 영화에 몰입이 안되더군요. 이거 보려고 쓴 시간이랑 돈이 너무 아깝네요. 살면서 영화 리뷰에 1점 준 적 없었는데 최악의 영화였습니다. "
50,6,2020.06.06 15:46,예고편보고 보러갔는데.. 슬슬 재미있어지려나.. 하고 기다리다가 끝난것 같아 아쉽네요.. 예고편만든사람 찾고싶었어요
51,10,2020.06.04 14:18,송지효 싸대기 오지게 때리고싶게 연기잘하네요 스토리 긴장감넘치고 좋습니다
52,10,2020.06.04 13:28,지효언니 너무 이쁜거 아니에요? ㅠㅠ 연기 너무 잘하시네요~
53,10,2020.06.04 14:40,"송지효가 어떤 배우가 되고 싶냐는 질문에 ‘어떤 옷을 입혀놔도 잘 어울리는 배우가 되고 싶다. 그 어려운 걸 해내겠다’라는 인터뷰를 봤는데, 이번 영화 정말 완벽하게 잘 어울리는 옷이었다고 생각해요. 앞으로도 이런 작품 많이 해주길. 믿고 보겠습니다!! "
54,10,2020.06.04 11:33,너무너무 재미있고 무엇보다 연기력이 대단하네요
55,8,2020.06.05 18:01,송지효는 이뻣따 ㅎㅎㅎㅎ
56,2,2020.06.04 17:11,아우씨 지루하고 재미없고 돈아깝다
57,10,2020.06.04 18:27,와 스토리 쩐다... 이렇게 몰입한거 진짜 오랜만임...ㄷㄷ 그리고  송지효도 진짜 배우는 배우구나... 내가아는 그 송지효 맞음? ㄹㅇ로 볼만한 영화임.잘만들었다
58,10,2020.06.04 14:24,대박이다 진짜..송지효 진짜.. 속으로 너무 때리고 싶었어 ㅠㅠ연기 너무 소름돋는다..
59,9,2020.06.04 19:41,와 이게 얼마만의 극장인지 ㅠㅠ 반전이 좀 독특했고 예상 못해서 ㅋㅋㅋㅋ 돈 안아까움 송지효 굿
60,10,2020.06.04 15:43,송지효 연기 이리 잘했나 ? 송지효 김무열 연기만으로도 충분히 볼만한 영화인듯
61,10,2020.06.04 17:30,송지효 런닝맨 이미지 때매 스릴러가 코미디로 보일줄 알았는데 역시 연기자는 연기자인가보다
62,10,2020.06.04 15:29,큰 기대는 안하고 오랜만에 극장에 들렀다가 보게 되었는데 생각보다 괜찮네요~! 배우들 연기도 좋고 나름 긴장감있게 잘 봤습니다.
63,10,2020.06.04 17:58,송지효가 이렇게 연기 잘 하는지 몰랐음
64,2,2020.06.08 15:35,송지효의 연기는 돋보였지만 영화 자체는 이상하고 다 보고 나올 때 기분이 굉장히 찝찝해지는 이상한 영화였음
65,1,2020.06.05 20:52,관객에 대한 최소한의 배려와 예의가 없다. 기본적인 사전조사 하나 하지 않고 만들면 이런영화가 된다.  개연성도 긴장감도 이야기를 보는 재미도 없다. 기대 없이 본 영화였지만 한국영화의 미래에 대해 절망하게 만들었다. 송지효와 김무열의 연기가 아깝다. 제발 제발 시나리오를 신중하게 검토하시기를. 시간을 내서 극장에 와서 영화를 보고자 하는 관객의 수준을 무시하고 모독하는 영화다. 강력 비추 
66,10,2020.06.05 13:08,내 생각엔 송지효는 진짜 동생인거같음.. 20년이 지나서 풍선색깔은 착각했지만 코끼리 그려져 있는거는 기억하는걸로보아서 찐유진인듯
67,4,2020.06.04 21:48,내용이 산으로 간다배우들 연기가 아깝네
68,2,2020.06.06 00:32,송지효 김무열 연기는 좋았는데 ... 도대체 이게 뭔 영화인지... 중간부터 엥? 스럽더니 끝까지 엥...
69,10,2020.06.05 10:58,연기 좋았고 오랜만에 극장에서 스릴러 만난거같아서 재밌었음
70,10,2020.06.04 16:20,김무열의 연기가 빛나는 영화...예수정 선생님 연기도 굳!! 꼭 보세요~
71,10,2020.06.04 16:52,지효누나가 집에 들어오면서부터 서서히 고조되는 긴장감이랑 세세하게 바뀌는 환경이 매우 볼만합니다
